name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 0.44 SHGC 0.26 Dbl Ref-B-H Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.45 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.45 SHGC 0.25 Simple Glazing,,,,,
U 0.45 SHGC 0.31 Dbl Ref-B-H Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.45 SHGC 0.33 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.45 SHGC 0.33 Simple Glazing,,,,,
U 0.46 SHGC 0.45 Dbl Grey 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,GREY 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.47 SHGC 0.33 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.47 SHGC 0.33 Simple Glazing,,,,,
U 0.48 SHGC 0.19 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.48 SHGC 0.19 Simple Glazing,,,,,
U 0.48 SHGC 0.21 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.48 SHGC 0.21 Simple Glazing,,,,,
U 0.48 SHGC 0.20 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.48 SHGC 0.20 Simple Glazing,,,,,
U 0.48 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.48 SHGC 0.22 Simple Glazing,,,,,
U 0.48 SHGC 0.40 Dbl Ref-D Clr 6mm/13mm,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.50 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.50 SHGC 0.22 Simple Glazing,,,,,
U 0.50 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.50 SHGC 0.23 Simple Glazing,,,,,
U 0.52 SHGC 0.22 Dbl Ref-B-L Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF B CLEAR LO 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.52 SHGC 0.39 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.52 SHGC 0.39 Simple Glazing,,,,,
U 0.52 SHGC 0.40 Dbl Ref-D Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.52 SHGC 0.49 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.52 SHGC 0.49 Simple Glazing,,,,,
U 0.52 SHGC 0.615 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.52 SHGC 0.615 Simple Glazing,,,,,
U 0.54 SHGC 0.13 Dbl Ref-A-L Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF A CLEAR LO 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.54 SHGC 0.18 Dbl Ref-A-M Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF A TINT MID 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.54 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.54 SHGC 0.23 Simple Glazing,,,,,
U 0.54 SHGC 0.27 Dbl Ref-C-H Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.55 SHGC 0.25,ExteriorWindow,Metal framing (all other),,,Glass_2175_LayerAvg,Gap_1_W_0_0032,Glass_2022F_LayerAvg,,,
U 0.55 SHGC 0.31 Dbl Ref-D Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF D TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.56 SHGC 0.35 Dbl Ref-D Tint 6mm/6mm,ExteriorWindow,Metal framing (all other),,,REF D TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.56 SHGC 0.76 Dbl Clr 3mm/6mm Air,ExteriorWindow,Metal framing (all other),,,CLEAR 3MM,AIR 6MM,CLEAR 3MM,,,
U 0.57 SHGC 0.25 Dbl Ref-C-H Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.57 SHGC 0.39 Dbl Ref-D Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.57 SHGC 0.49 Dbl Blue 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,BLUE 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.59 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.59 SHGC 0.36 Simple Glazing,,,,,
U 0.59 SHGC 0.39 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.59 SHGC 0.39 Simple Glazing,,,,,
U 0.60 SHGC 0.23 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.60 SHGC 0.23 Simple Glazing,,,,,
U 0.62 SHGC 0.20 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.62 SHGC 0.20 Simple Glazing,,,,,
U 0.62 SHGC 0.21 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.62 SHGC 0.21 Simple Glazing,,,,,
U 0.62 SHGC 0.25 Dbl Ref-C-H Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.62 SHGC 0.39 Dbl Ref-D Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.62 SHGC 0.41 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.62 SHGC 0.41 Simple Glazing,,,,,
U 0.62 SHGC 0.49 Dbl Blue 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,BLUE 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.65 SHGC 0.25 Dbl Ref-C-H Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.67 SHGC 0.77 Sgl LoE (e2-.2) Clr 3mm,ExteriorWindow,Metal framing (all other),,,PYR B CLEAR 3MM,,,,,
U 0.71 SHGC 0.25 Dbl Ref-C-H Clr 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,REF C CLEAR HI 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.72 SHGC 0.25 Sgl Ref-B-M Tint 6mm,ExteriorWindow,Metal framing (all other),,,REF B TINT MID 6MM,,,,,
U 0.72 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.72 SHGC 0.25 Simple Glazing,,,,,
